Model,Feature,Quantile bin,Feature min,Feature max,n,Mean feature,Mean SHAP,Median SHAP,Overall Spearman,Overall linear slope
XGBoost,Sn,4,0.0,1.0,518,0.1407915057915058,-0.0007734993705525994,0.06228373944759369,-0.7465241791922551,-0.35607001525269444
XGBoost,Br,2,0.0,0.14,254,0.03378740157480315,-0.07540391385555267,-0.08021139353513718,0.9496162045137311,0.5584386470289374
XGBoost,Br,3,0.15,0.256,134,0.17969402985074628,-0.02017483487725258,-0.03008006513118744,0.9496162045137311,0.5584386470289374
XGBoost,Br,4,0.267,1.0,130,0.5644923076923077,0.20099976658821106,0.113337442278862,0.9496162045137311,0.5584386470289374
XGBoost,Cl,4,0.0,1.0,518,0.025316602316602318,-0.008513565175235271,-0.053895868360996246,0.3851678230338089,1.4784153437345733
Random Forest,Sn,4,0.0,1.0,518,0.1407915057915058,0.003201445109260821,0.06422611573904405,-0.7467390311291209,-0.34852471283431696
Random Forest,Br,2,0.0,0.14,254,0.03378740157480315,-0.08827844642540061,-0.09333085329854363,0.9535681712274958,0.6087074431268596
Random Forest,Br,3,0.15,0.256,134,0.17969402985074628,-0.030553432805281194,-0.03842920232574239,0.9535681712274958,0.6087074431268596
Random Forest,Br,4,0.267,1.0,130,0.5644923076923077,0.215979118413635,0.15644975301900324,0.9535681712274958,0.6087074431268596
Random Forest,Cl,4,0.0,1.0,518,0.025316602316602318,-0.007825249089395409,-0.0477681315709501,0.3851724607579693,1.449685369101624
